,Nodes,Edges,Diameter,Avg_Degree,Avg_SPL,Density,Clustering_Coefficient,Normalized_Number_of_Loops,Modularity_Index,Avg_Degree_Centrality,Avg_Betweenness_Centrality,Avg_Closeness_Centrality,Avg_Eigenvector_Centrality,Algebraic_Connectivity,Assortativity,Rich_Club_Coefficient,Transitivity,Global_Efficiency,Local_Efficiency,CV,Gini_Degree,Degree_Variance,Meshedness,Gini_Betweenness,Gamma_Index
WashingtonDc,91.0,93.0,28.0,2.043956043956044,11.508669108669109,0.02271062271062271,0.0,0.03296703296703297,0.5672910163024628,0.02271062271062271,0.1180749338052709,0.09273747451556545,0.05100230332474952,0.011086121808167258,0.03337997201679053,0.06763753222086555,0.0,0.13929150141053523,0.0,0.30696994459398275,0.1173342786246012,0.39367226180412995,0.01694915254237288,0.4525208484263164,0.34831460674157305
Boston,114.0,115.0,34.0,2.017543859649123,13.954044403043005,0.01785437043937277,0.005847953216374269,0.017543859649122806,0.5662759924385633,0.017854370439372765,0.11566111074145544,0.07617755672986216,0.032984746091952406,0.004896828184298183,0.31989247311828006,0.15807373303565048,0.022222222222222223,0.115610450571246,0.005847953216374269,0.2783967059753413,0.10350877192982456,0.31548168667282245,0.008968609865470852,0.4988168402717546,0.34226190476190477
Chicago,143.0,149.0,43.0,2.0839160839160837,15.992416034669557,0.014675465379690732,0.02121212121212121,0.04895104895104895,0.5717535246160083,0.01467546537969073,0.10632919173524508,0.0671465827187454,0.026683359181953935,0.003954714098521255,0.21364202140901148,0.0700411655147705,0.06153846153846154,0.10417541192561537,0.022027972027972027,0.32844790075817876,0.10653775754446895,0.46848256638466435,0.02491103202846975,0.4681057433852766,0.35224586288416077
Delhi,205.0,216.0,54.0,2.107317073170732,17.082926829268292,0.010329985652797705,0.0,0.05853658536585366,0.5454711076817558,0.010329985652797703,0.07922624053826745,0.06167615231874352,0.027534265921262003,0.004430226807529446,-0.1081739130434775,0.009252571680670243,0.0,0.09262382592815953,0.0,0.26851851851851855,0.09019873532068653,0.3201903628792386,0.02962962962962963,0.40228773738967566,0.35467980295566504
Tokyo,223.0,268.0,32.0,2.403587443946188,10.642548377974387,0.010826970468226074,0.023332621538899565,0.2062780269058296,0.5324543328135442,0.01082697046822607,0.04363144062431849,0.10081851839435386,0.028205989762213696,0.009722112345108986,0.18772554661886448,0.054247351598620326,0.04633204633204633,0.1341614031906645,0.023332621538899565,0.4692451624678119,0.1915199785824242,1.272094753564319,0.10430839002267574,0.5240883282670181,0.4042232277526395
Paris,302.0,358.0,34.0,2.370860927152318,11.976876196343314,0.007876614375921322,0.015689057079785556,0.18874172185430463,0.565037764114728,0.007876614375921324,0.03658958732114439,0.0877194540768792,0.02015012126050958,0.011265262008711203,-0.02802608665961053,0.010134943404438266,0.03115727002967359,0.11515615970089871,0.01607537054556922,0.4646285120319944,0.18994413407821228,1.213455550195167,0.09515859766277128,0.5463869968935084,0.3977777777777778
Shanghai,345.0,397.0,45.0,2.301449275362319,16.002662622177283,0.0066902595214020895,0.008599033816425121,0.1536231884057971,0.5372884797187978,0.0066902595214020895,0.04373954117252852,0.06722832599863728,0.019608652096158457,0.004992779598712124,0.19743283727500768,0.06688155316165463,0.022321428571428572,0.09258358335251013,0.008599033816425121,0.4123103317351385,0.1643485562004892,0.9004326822096199,0.07737226277372262,0.49007705774202964,0.3858114674441205
London,369.0,430.0,39.0,2.330623306233062,13.732738305643926,0.006333215506068104,0.02944896115627823,0.16802168021680217,0.5787506760411033,0.006333215506068103,0.03469410982464285,0.07700966107415387,0.01716735201106766,0.007198872208202759,0.13701185603013025,0.029577962183677108,0.05111402359108781,0.1014414908721508,0.02962962962962963,0.43637042232952206,0.18065166698178609,1.0343196656898819,0.08458390177353342,0.5711422617824188,0.3905540417801998
NewYork,463.0,510.0,57.0,2.203023758099352,19.690368666610567,0.004768449692855741,0.02789262573279852,0.10367170626349892,0.5780834294502114,0.004768449692855741,0.04054309905989278,0.0543829955593062,0.012608701263355192,0.002551474187293363,0.17046078560852984,0.21527913438403343,0.043882978723404256,0.07391707389382446,0.02789262573279852,0.3510461106180847,0.13135560919832295,0.5980902089387924,0.05211726384364821,0.6118525646978501,0.368763557483731
Budapest,48.0,48.0,19.0,2.0,7.662234042553192,0.0425531914893617,0.0,0.020833333333333332,0.5494791666666666,0.04255319148936171,0.14483117483811284,0.13958054190785155,0.08302002263352566,0.02368597011647539,-0.14202049780380668,0.023138297872340424,0.0,0.2030103284278931,0.0,0.3818813079129867,0.13194444444444445,0.5833333333333334,0.01098901098901099,0.46304890219560874,0.34782608695652173
Cairo,61.0,61.0,34.0,2.0,11.916939890710383,0.03333333333333333,0.0,0.01639344262295082,0.5137059930126311,0.03333333333333334,0.1850328795035658,0.08996011878166464,0.0668398059643817,0.008040081569799549,0.06233988044406275,0.10075757575757575,0.0,0.152487565452053,0.0,0.23953506879020423,0.07686105885514646,0.22950819672131148,0.008547008547008548,0.3962087804781982,0.3446327683615819
Copenhagen,39.0,40.0,15.0,2.051282051282051,6.414304993252362,0.05398110661268556,0.0,0.05128205128205128,0.5134375000000001,0.053981106612685556,0.14633256738519895,0.1636071810770755,0.11685432046522766,0.032959445863268474,-0.0013175230566544525,0.07028799374000612,0.0,0.23377739744136422,0.0,0.2910111681705704,0.11346153846153846,0.35634451019066393,0.0273972602739726,0.47105478436485415,0.36036036036036034
Montreal,67.0,68.0,29.0,2.029850746268657,10.449570330167345,0.03075531433740389,0.0,0.029850746268656716,0.5405493079584776,0.03075531433740389,0.1453780050794976,0.10012536286631336,0.05620374061305162,0.013396335210141903,-0.07184750733137722,0.01615877393954223,0.0,0.15916437209473835,0.0,0.29448506462501156,0.0961369622475856,0.3573178881710849,0.015503875968992248,0.3610164369841788,0.3487179487179487
SanFrancisco,50.0,51.0,26.0,2.04,10.600816326530612,0.04163265306122449,0.06666666666666667,0.04,0.6041906958861976,0.04163265306122448,0.20001700680272108,0.10015591134680474,0.06804900044897988,0.011887442242655387,0.06343906510851488,0.07698481412767126,0.1016949152542373,0.16966295159307943,0.06666666666666667,0.23934422775948438,0.10313725490196078,0.23840000000000003,0.021052631578947368,0.4267851373182551,0.3541666666666667
Vienna,98.0,104.0,28.0,2.122448979591837,10.670523879654954,0.02188091731537976,0.0,0.07142857142857142,0.5438701923076923,0.021880917315379764,0.1007346237464058,0.09992271478881531,0.046919654550776575,0.012449459351953303,0.01629629629629624,0.05597953587747734,0.0,0.1451986564051141,0.0,0.34494982912792493,0.13039638932496075,0.5360266555601834,0.03664921465968586,0.4382349733035673,0.3611111111111111
Philadelphia,50.0,55.0,27.0,2.2,9.208979591836735,0.044897959183673466,0.048,0.12,0.5171900826446281,0.044897959183673466,0.17102040816326528,0.11645777754487022,0.06853664942550682,0.012233744763090547,0.30039138943248544,0.3688346643005028,0.10975609756097561,0.19267233288825822,0.050666666666666665,0.36363636363636365,0.14545454545454545,0.64,0.06315789473684211,0.43579687085653684,0.3819444444444444
Kobe,26.0,25.0,17.0,1.9230769230769231,7.227692307692307,0.07692307692307693,0.0,0.0,0.5264,0.07692307692307693,0.2594871794871795,0.14662187583857741,0.1471857556685955,0.029303920527354813,-7.517135062566212e-15,0.08193979933110368,0.0,0.24333899258107403,0.0,0.19999999999999998,0.07230769230769231,0.14792899408284022,0.0,0.35299483125570086,0.3472222222222222
Naples,28.0,28.0,20.0,2.0,7.087301587301587,0.07407407407407407,0.0,0.03571428571428571,0.4776785714285714,0.07407407407407406,0.23412698412698418,0.14957279813264587,0.12506770267203887,0.021058827754593903,0.04109589041095736,0.38580246913580246,0.0,0.2498815023880752,0.0,0.2672612419124244,0.09821428571428571,0.2857142857142857,0.0196078431372549,0.440414105668343,0.358974358974359
Marseille,29.0,29.0,16.0,2.0,6.219211822660099,0.07142857142857142,0.0,0.034482758620689655,0.5124851367419738,0.07142857142857142,0.1933041415800036,0.1710195842401454,0.13717843793308415,0.03746719566546339,-0.07407407407407512,0.03869047619047619,0.0,0.25858828158704955,0.0,0.32163376045133846,0.12366230677764566,0.41379310344827586,0.018867924528301886,0.4485525052480839,0.35802469135802467
Toulouse,37.0,36.0,23.0,1.945945945945946,8.70870870870871,0.05405405405405406,0.0,0.0,0.5084876543209876,0.05405405405405406,0.22024882024882028,0.1223073764911848,0.09853483744680953,0.016984555987179906,-0.011235955056180615,0.05733005733005733,0.0,0.20203388977674377,0.0,0.2373334373699314,0.07657657657657657,0.2132943754565376,0.0,0.3889491361248275,0.34285714285714286
Lyon,40.0,40.0,18.0,2.0,6.917948717948718,0.05128205128205128,0.0,0.025,0.548125,0.05128205128205128,0.15573549257759783,0.15283983669284124,0.10975099620458861,0.029569013329763333,-0.07843137254902102,0.027972027972027972,0.0,0.22247958342980897,0.0,0.31622776601683794,0.1325,0.4,0.013333333333333334,0.4272855285961871,0.3508771929824561
Amsterdam,39.0,40.0,19.0,2.051282051282051,7.5465587044534415,0.05398110661268556,0.021367521367521364,0.05128205128205128,0.548125,0.053981106612685556,0.17693401903928221,0.1400646011504506,0.08565834659520412,0.023612765545585983,0.23611111111111205,0.13816176943111927,0.0625,0.21559245055096113,0.021367521367521364,0.2692582403567252,0.11153846153846154,0.30506245890861267,0.0273972602739726,0.3817663817663819,0.36036036036036034
Bilbao,42.0,41.0,30.0,1.9523809523809523,11.509872241579558,0.047619047619047616,0.0,0.0,0.5217132659131469,0.047619047619047616,0.262746806039489,0.09206006662131413,0.09649049888004078,0.009758009745558892,-4.3148355259129745e-15,0.04945054945054945,0.0,0.17242644542910507,0.0,0.15617376188860604,0.04587688734030197,0.0929705215419501,0.0,0.33361486930942125,0.3416666666666667
Lisbon,50.0,52.0,21.0,2.08,7.873469387755102,0.04244897959183674,0.0,0.06,0.5192307692307693,0.042448979591836716,0.14319727891156464,0.13575056757233575,0.08833142105984307,0.020397630244402873,-0.16071428571428545,0.08140404999208986,0.0,0.203044318472257,0.0,0.3577129853411206,0.1519230769230769,0.5536,0.031578947368421054,0.4187885985748219,0.3611111111111111
Dubai,53.0,53.0,32.0,2.0,11.910014513788099,0.038461538461538464,0.0,0.018867924528301886,0.5302598789604841,0.03846153846153846,0.21392185321153132,0.0881658075392391,0.07218040102843229,0.005923880968956327,0.16122650840751754,0.35358701582105834,0.0,0.16569027312209175,0.0,0.25697808437502334,0.08757564969740121,0.2641509433962264,0.009900990099009901,0.486667955150715,0.3464052287581699
Vancouver,52.0,53.0,29.0,2.0384615384615383,10.882352941176471,0.03996983408748114,0.041666666666666664,0.038461538461538464,0.5738697045211819,0.03996983408748115,0.19764705882352937,0.09590538623213993,0.06332761578024179,0.008858053234632526,-0.18409294012511196,0.021093291084312467,0.047619047619047616,0.17057659484425453,0.041666666666666664,0.2714621616969464,0.10341074020319303,0.30621301775147935,0.020202020202020204,0.38753580820888517,0.35333333333333333
Rotterdam,70.0,70.0,32.0,2.0,12.948654244306418,0.028985507246376812,0.0,0.014285714285714285,0.534795918367347,0.0289855072463768,0.17571550359274143,0.08159925336099234,0.05716958480044163,0.0075953877832868125,-0.04294478527607338,0.020243846330802853,0.0,0.1394808347201229,0.0,0.22360679774997896,0.07938775510204081,0.2,0.007407407407407408,0.4066472929620975,0.3431372549019608
Rome,73.0,72.0,35.0,1.9726027397260273,13.755707762557078,0.0273972602739726,0.0,0.0,0.5455246913580247,0.027397260273972608,0.17965785581066307,0.07747502139417965,0.0587835730432366,0.005581734039477685,-0.0161290322580633,0.019082668847543106,0.0,0.1320014121989232,0.0,0.2050669869476861,0.06506849315068493,0.1636329517733158,0.0,0.4310283248866212,0.3380281690140845
Toronto,75.0,75.0,35.0,2.0,13.432072072072073,0.02702702702702703,0.0,0.013333333333333334,0.5268444444444444,0.02702702702702703,0.17030235715167225,0.07967717928597387,0.05837256769668444,0.0068610538360822145,0.0358126721763111,0.07422640031335682,0.0,0.1336515468181789,0.0,0.2,0.06293333333333333,0.16,0.006896551724137931,0.429166449269061,0.3424657534246575
BuenosAires,78.0,85.0,23.0,2.1794871794871793,8.73959373959374,0.028305028305028304,0.0,0.10256410256410256,0.5210380622837371,0.0283050283050283,0.1018367597314966,0.1219552352634732,0.05490434257518961,0.017639314795816326,0.00960752248569128,0.11791083312822441,0.0,0.17533298039189782,0.0,0.407371522192489,0.15852187028657616,0.7882971729125573,0.052980132450331126,0.46895374820897573,0.37280701754385964
Valencia,95.0,98.0,47.0,2.0631578947368423,16.60761478163494,0.0219484882418813,0.03824561403508772,0.042105263157894736,0.5695543523531861,0.021948488241881302,0.16782381485628964,0.06442772655821848,0.02601080001273648,0.004122784956606883,0.04576436222005912,0.03365239548436444,0.07627118644067797,0.1127158869106622,0.0431578947368421,0.2613520096911367,0.09377013963480128,0.2907479224376732,0.021621621621621623,0.42569739409941454,0.35125448028673834
Stockholm,101.0,101.0,37.0,2.0,13.387722772277227,0.02,0.0,0.009900990099009901,0.557494363297716,0.019999999999999997,0.12512851285128512,0.07951790418171832,0.04367873526387491,0.005880677013912112,-0.02870370370370446,0.028475120385232745,0.0,0.12260151348950488,0.0,0.27250215731728483,0.09959807861974317,0.297029702970297,0.005076142131979695,0.5378989288039709,0.3400673400673401
Oslo,101.0,103.0,37.0,2.0396039603960396,14.315841584158417,0.020396039603960397,0.0165016501650165,0.0297029702970297,0.5793194457536054,0.020396039603960386,0.13450345034503455,0.07425173905192631,0.05152053039129837,0.006178017250769689,0.07316118935837486,0.03844331698246963,0.025423728813559324,0.1185017581467768,0.0165016501650165,0.22800036050130829,0.08814764971642795,0.2162533084991667,0.015228426395939087,0.4532243186397604,0.3468013468013468
Athens,61.0,62.0,32.0,2.0327868852459017,10.917486338797815,0.033879781420765025,0.0,0.03278688524590164,0.5191207075962538,0.033879781420765025,0.16809298879318327,0.0985999200816883,0.06536510100132825,0.009956654439550867,0.16341829085457305,0.18456422144946732,0.0,0.16133146134075507,0.0,0.29498937351890125,0.1039132734003173,0.3595807578607901,0.017094017094017096,0.44979942895286634,0.3502824858757062
Warsaw,33.0,32.0,20.0,1.9393939393939394,7.825757575757576,0.06060606060606061,0.0,0.0,0.513671875,0.06060606060606061,0.2201857282502444,0.13586599544110609,0.1098095414515838,0.0198345957918676,-0.012658227848101266,0.06478578892371996,0.0,0.21947713284105913,0.0,0.25194555463432966,0.08522727272727272,0.23875114784205695,0.0,0.4012376820367942,0.34408602150537637
Atlanta,38.0,37.0,20.0,1.9473684210526316,8.176386913229019,0.05263157894736842,0.0,0.0,0.5248356464572681,0.05263157894736842,0.1993440809230283,0.1290287810175155,0.10088196649100367,0.016965719901166743,-0.10557768924302745,0.03837719298245614,0.0,0.2058705022571723,0.0,0.2873012381820175,0.11877667140825035,0.3130193905817174,0.0,0.4617860309842992,0.3425925925925926
Berlin,174.0,190.0,46.0,2.1839080459770117,14.049033286824796,0.012623745930502956,0.03045977011494253,0.09770114942528736,0.586398891966759,0.012623745930502956,0.07586647259781859,0.07589359481550437,0.02358559448649477,0.0058134837377495,0.10023310023310081,0.05146745138311124,0.06315789473684211,0.11193822555775551,0.03199233716475096,0.380442955126341,0.14658197217180882,0.6903157616594002,0.04956268221574344,0.4726983488231984,0.3682170542635659
Brussels,59.0,60.0,29.0,2.0338983050847457,10.129748684979544,0.03506721215663355,0.0,0.03389830508474576,0.5470833333333334,0.03506721215663354,0.16017102956104465,0.10428027739614697,0.08096106805193216,0.012255268297677483,-0.004464285714286941,0.057592549955690416,0.0,0.16782013709013024,0.0,0.22110831935702666,0.07740112994350283,0.20224073542085605,0.017699115044247787,0.36468834326672367,0.3508771929824561
Hyderabad,56.0,56.0,26.0,2.0,10.402597402597403,0.03636363636363636,0.0,0.017857142857142856,0.5722257653061225,0.03636363636363637,0.17412217412217412,0.10080401235416474,0.07022426562073535,0.014817176180500933,-0.03556187766714129,0.025193107546048723,0.0,0.16387092544066686,0.0,0.21128856368212914,0.06728316326530612,0.17857142857142858,0.009345794392523364,0.32409727703235985,0.345679012345679
Lille,60.0,60.0,42.0,2.0,14.337853107344634,0.03389830508474576,0.0,0.016666666666666666,0.5094444444444445,0.033898305084745756,0.2299629846093902,0.07418951392186468,0.0751313012675492,0.004913104642795508,-0.0344827586206897,0.017565485362095533,0.0,0.14536416106572433,0.0,0.22360679774997896,0.06333333333333334,0.2,0.008695652173913044,0.39839884784818713,0.3448275862068966
Madrid,240.0,276.0,44.0,2.3,14.587866108786612,0.009623430962343096,0.007837301587301587,0.15416666666666667,0.5533173177903802,0.009623430962343093,0.05709187440666643,0.07424113128086755,0.02345616243317519,0.003779698662051457,0.25111290117437624,0.041897662877608544,0.032397408207343416,0.10691386946847746,0.008323412698412698,0.40514958691288017,0.15098128019323673,0.8683333333333335,0.07789473684210527,0.5312356753321261,0.3865546218487395
Milan,106.0,109.0,35.0,2.056603773584906,12.085175202156334,0.01958670260557053,0.0,0.03773584905660377,0.5668714754650283,0.01958670260557053,0.10658822309765706,0.08797130302076157,0.050077267953116386,0.007261549097487932,-0.12962103634957653,0.010383797711862958,0.0,0.13137988649249643,0.0,0.30483023350158067,0.11675610178293232,0.3930224279102883,0.01932367149758454,0.4590643409000984,0.34935897435897434
Nuremberg,49.0,49.0,25.0,2.0,9.130102040816327,0.041666666666666664,0.0,0.02040816326530612,0.5343606830487296,0.041666666666666664,0.17298089448545376,0.11699921457584424,0.08243172808099862,0.014901236980802458,0.0335305719921095,0.06398809523809523,0.0,0.18436252164268177,0.0,0.2857142857142857,0.11078717201166181,0.32653061224489793,0.010752688172043012,0.4770272087498318,0.3475177304964539
Prague,58.0,58.0,23.0,2.0,9.505747126436782,0.03508771929824561,0.0,0.017241379310344827,0.521551724137931,0.03508771929824562,0.15188834154351394,0.11270059626114756,0.06922455273982618,0.01609306602390498,0.10168350168350014,0.18524251805985553,0.0,0.17004738394122285,0.0,0.2785430072655778,0.09542211652794293,0.3103448275862069,0.009009009009009009,0.4033820571933095,0.34523809523809523
Santiago,119.0,176.0,24.0,2.957983193277311,8.834923800028486,0.025067654180316194,0.29579831932773104,0.48739495798319327,0.6139753357438017,0.025067654180316194,0.06696516068400415,0.11828395063175884,0.05170101505415738,0.01963382640778026,0.10113268608414194,0.04342531354227528,0.34615384615384615,0.1672999264496081,0.36671335200746963,0.37032206220000735,0.19996180290297938,1.199915260221736,0.24892703862660945,0.5381007220234442,0.5014245014245015
